,Unnamed: 0,Name,Category,total_revenue2018,total_revenue2019,total_revenue2020,operating_income2018,operating_income2019,operating_income2020,net_income2018,net_income2019,net_income2020,diluted_EPS2018,diluted_EPS2019,diluted_EPS2020,EBITDA2018,EBITDA2019,EBITDA2020,total_assets2018,total_assets2019,total_assets2020,total_liability2018,total_liability2019,total_liability2020,total_equity2018,total_equity2019,total_equity2020,total_liability_shareholders2018,total_liability_shareholders2019,total_liability_shareholders2020,total_debt2018,total_debt2019,total_debt2020,book_value2018,book_value2019,book_value2020,cash_operating2018,cash_operating2019,cash_operating2020,cash_investing2018,cash_investing2019,cash_investing2020,cash_financing2018,cash_financing2019,cash_financing2020,free_cash_flow2018,free_cash_flow2019,free_cash_flow2020,price_to_earning2018,price_to_earning2019,price_to_earning2020,price_to_sales2018,price_to_sales2019,price_to_sales2020,price_to_cash_flow2018,price_to_cash_flow2019,price_to_cash_flow2020,price_to_book2018,price_to_book2019,price_to_book2020,entreprise_value2018,entreprise_value2019,entreprise_value2020,entreprise_value_EBITDA2018,entreprise_value_EBITDA2019,entreprise_value_EBITDA2020,return_asset2018,return_asset2019,return_asset2020,return_equity2018,return_equity2019,return_equity2020,return_capital2018,return_capital2019,return_capital2020,gross_margin2018,gross_margin2019,gross_margin2020,operating_margin2018,operating_margin2019,operating_margin2020,EBITDA_margin2018,EBITDA_margin2019,EBITDA_margin2020,net_margin2018,net_margin2019,net_margin2020,quick_ratio2018,quick_ratio2019,quick_ratio2020,current_ratio2018,current_ratio2019,current_ratio2020,inventory_turnover2018,inventory_turnover2019,inventory_turnover2020,asset_turnover2018,asset_turnover2019,asset_turnover2020,debt_assets2018,debt_assets2019,debt_assets2020,debt_equity2018,debt_equity2019,debt_equity2020,long_term_debt2018,long_term_debt2019,long_term_debt2020
12,12,ARAY,Medical,418.79M,382.93M,396.29M,2.08M,13.64M,22.23M,16.43M,3.83M,6.31M,0.19,0.04,0.19,12.57M,21.18M,28.62M,438.18M,490.93M,480.10M,388.31M,427.29M,411.26M,49.87M,63.63M,68.84M,438.18M,490.93M,480.10M,159.84M,221.70M,199.41M,0.56,0.7,0.76,29.64M,1.23M,39.17M,4.31M,3.73M,2.40M,28.47M,26.46M,29.47M,33.95M,4.79M,36.85M,,48.1,,0.81,0.48,1.05,,,10.62,6.87,2.91,5.96,411.32M,297.10M,498.46M,32.71,12.5,16.52,4.02,0.82,1.3,33.36,6.74,9.53,8.44,1.57,2.37,38.84,39.1,40.25,0.5,3.56,5.61,3,5.53,7.22,3.92,1,1.59,1.16,1.21,1.16,1.79,1.95,1.82,2.23,1.83,1.82,1.03,0.82,0.82,0.36,0.45,0.42,3.21,3.48,2.9,0.36,0.43,0.39
13,13,ATEC,Medical,91.69M,113.43M,144.86M,19.99M,38.67M,46.09M,28.98M,57.00M,78.99M,1.2,1.09,1.2,13.21M,30.16M,34.46M,134.48M,174.95M,265.22M,88.30M,102.71M,107.74M,46.18M,72.23M,157.48M,134.48M,174.95M,265.22M,45.58M,56.18M,43.16M,0.52,0.79,1.63,25.61M,35.36M,45.10M,21.67M,13.03M,23.86M,53.88M,66.42M,129.52M,32.52M,48.39M,68.23M,,,,0.88,3.27,6.72,,,,4.4,8.96,8.9,121.00M,403.27M,932.13M,,,,25.71,36.78,35.89,119.73,96.11,68.78,44.95,52.91,49.04,68.16,61.73,63.2,21.81,34.09,31.82,14.4,26.59,23.79,31.42,50.17,54.53,1.53,2.02,2.37,2.47,2.98,3.16,1.04,1.36,1.32,0.82,0.73,0.66,0.34,0.32,0.16,0.99,0.78,0.27,0.31,0.31,0.14
14,14,ATOS,Medical,0,0,0,11.43M,17.27M,14.61M,11.40M,17.24M,17.83M,5.5,2.03,5.5,11.39M,17.21M,14.56M,11.72M,14.50M,42.84M,2.92M,1.34M,15.68M,8.81M,13.16M,27.17M,11.72M,14.50M,42.84M,0,50.48K,18.05K,1.1,1.37,0.56,8.96M,9.13M,11.57M,110.91K,7.63K,9.37K,12.29M,11.34M,38.55M,9.07M,9.14M,11.58M,,,,,,,,,,0.93,1.15,1.7,3.87M,1.37M,28.28M,,,,114.71,131.5,62.18,144.88,157,88.42,144.88,156.92,88.4,,,,,,,,,,,,,3.96,10.83,2.73,3.96,10.83,2.73,,,,0,0,0,0,0,0,0,0,0,0,0,0
15,15,ATRC,Medical,201.63M,230.81M,206.53M,6.30M,38.04M,44.45M,21.14M,35.19M,48.16M,0.62,0.94,0.62,2.45M,28.67M,34.90M,356.76M,557.88M,714.54M,107.38M,310.54M,302.14M,249.38M,247.34M,412.39M,356.76M,557.88M,714.54M,52.46M,76.42M,67.33M,6.46,6.24,9.09,4.17M,15.81M,19.90M,85.40M,2.15M,156.20M,100.18M,14.37M,189.43M,10.38M,27.99M,25.16M,,,,5.17,5.29,11.35,,,,4.74,5.21,6.12,971.12M,1.22B,2.17B,396.05,,,6.77,7.7,7.57,10.3,14.17,14.6,8.54,11.38,12.05,72.97,73.8,72.29,3.13,16.48,21.52,1.22,12.42,16.9,10.48,15.25,23.32,3.78,2.28,5.53,4.34,2.87,6.24,2.43,2.33,1.78,0.65,0.5,0.32,0.15,0.14,0.09,0.21,0.31,0.16,0.13,0.13,0.09
16,16,ATRI,Medical,152.45M,155.07M,147.59M,41.71M,40.53M,35.67M,34.26M,36.76M,32.12M,18.44,19.73,18.44,50.83M,51.38M,47.32M,231.22M,262.03M,266.89M,20.45M,24.16M,26.45M,210.77M,237.87M,240.44M,231.22M,262.03M,266.89M,0,0,0,113.74,128.23,131.68,43.24M,42.47M,39.22M,5.08M,44.84M,30.83M,9.54M,11.33M,30.99M,25.73M,22.02M,17.33M,40.2,38.09,36.82,9.03,9.03,8.01,31.85,32.97,30.15,6.52,5.86,4.88,1.31B,1.33B,1.14B,25.74,25.91,24.11,15.75,14.91,12.14,17.34,16.39,13.43,17.34,16.39,13.43,47.08,45.59,44.83,27.36,26.14,24.17,33.34,33.13,32.06,22.47,23.71,21.76,8.68,8,4.55,11.96,11.74,8.24,2.56,2.23,1.76,0.7,0.63,0.56,0,0,0,0,0,0,0,0,0
17,17,ATRS,Medical,63.55M,123.86M,149.60M,16.60M,992.00K,13.62M,6.51M,2.03M,56.20M,0.04,0.01,0.04,13.88M,3.55M,16.25M,88.28M,132.75M,212.53M,49.28M,78.25M,93.42M,39.00M,54.50M,119.11M,88.28M,132.75M,212.53M,25.13M,47.09M,46.92M,0.24,0.33,0.71,17.32M,10.62M,21.32M,11.61M,20.00M,8.17M,7.04M,25.92M,447.00K,18.18M,12.96M,6.71M,,,12.08,6.74,6.17,4.54,,,31.84,11.14,14.25,5.59,425.38M,765.46M,672.70M,,213.8,41.04,8.01,1.83,32.55,17.96,4.34,64.74,10.9,2.51,45.15,50.18,58.97,57.63,26.12,0.8,9.1,21.83,2.87,10.86,10.25,1.64,37.57,2.2,2.85,1.71,2.62,3.35,2,3.07,3.72,3.71,0.78,1.12,0.87,0.28,0.35,0.22,0.64,0.86,0.39,0.25,0.35,0.14
18,18,AUVI,Medical,7.56M,9.10M,5.73M,753.33K,1.17M,3.31M,720.24K,2.57M,3.37M,0.09,0.51,0.09,759.58K,1.18M,3.29M,3.11M,4.77M,13.98M,4.53M,3.62M,4.22M,1.42M,1.15M,9.75M,3.11M,4.77M,13.98M,2.36M,793.61K,950.64K,0.18,0.23,1.23,528.56K,770.26K,657.23K,3.87K,13.00K,218.63K,142.80K,521.09K,11.60M,524.70K,757.26K,753.30K,,,,,,6.36,,,,,,3.74,,,25.66M,,,,,53.82,35.94,,223.16,60.48,,145.28,54.24,35.29,33.92,17.61,9.97,12.85,57.79,10.05,12.94,57.4,9.53,28.22,58.76,1.32,1.1,4.5,1.42,1.16,4.58,,29.45,23.55,,1.91,0.61,0.76,0.17,0.07,1.67,0.69,0.1,0.76,0.13,0.05
19,19,AVDL,Medical,103.27M,59.22M,22.33M,60.55M,16.83M,36.66M,95.30M,33.23M,7.03M,2.55,0.89,2.55,53.12M,14.34M,34.97M,190.30M,151.44M,311.64M,187.52M,180.63M,149.37M,2.78M,29.20M,162.27M,190.30M,151.44M,311.64M,115.84M,124.65M,130.52M,0.07,0.78,2.76,82.72M,38.33M,48.73M,36.98M,38.72M,69.72M,112.66M,27.00K,179.68M,82.89M,38.35M,48.83M,,,50.38,0.93,4.77,16.43,,,,34.63,,2.42,112.22M,342.88M,276.13M,,,,42.97,19.45,3.04,215.72,,10.56,93.32,31.15,3.63,76.63,78.15,72.47,58.64,28.42,164.15,51.44,24.22,156.58,92.29,56.11,31.47,3.13,2.19,17.44,3.25,2.29,17.44,4.42,3.1,3.44,0.47,0.35,0.1,0.61,0.82,0.42,41.67,4.27,0.8,0.61,0.82,0.42
20,20,AVGR,Medical,7.92M,9.13M,8.76M,22.07M,19.36M,17.40M,27.56M,19.45M,19.01M,33.4,3.18,33.4,20.79M,17.79M,15.54M,23.70M,23.82M,33.20M,14.24M,16.93M,20.12M,9.46M,6.89M,13.08M,23.70M,23.82M,33.20M,7.49M,13.82M,17.05M,2.71,0.67,0.15,18.62M,15.86M,14.84M,4.00K,70.00K,65.00K,29.65M,10.46M,26.01M,18.65M,15.95M,14.84M,,,,0.41,0.9,2.47,,,,1.11,1.71,2.86,5.72M,11.13M,16.53M,,,,142.1,81.85,66.66,,237.85,190.34,,189.85,103.4,17.49,31.4,29.88,278.8,212.01,198.65,262.62,194.86,177.42,348.17,213.01,216.94,1.28,0.99,3.22,1.52,1.3,3.74,1.69,1.71,1.58,0.41,0.38,0.31,0.32,0.58,0.51,0.79,2,1.3,0,0.17,0.38
21,21,AVNS,Medical,652.30M,697.60M,714.80M,34.90M,5.40M,70.90M,57.50M,45.90M,27.20M,1.22,0.96,1.22,68.40M,31.50M,113.80M,1.83B,1.80B,1.67B,536.20M,534.40M,416.30M,1.30B,1.27B,1.26B,1.83B,1.80B,1.67B,247.70M,325.40M,248.80M,27.42,26.51,26.22,147.20M,74.50M,2.50M,639.50M,108.10M,24.20M,322.80M,1.50M,70.00M,196.30M,125.10M,22.70M,36.77,,,3.24,2.3,3.07,,,,1.63,1.27,1.75,1.98B,1.72B,2.33B,28.91,52.28,19.87,0.42,2.53,1.57,0.68,3.58,2.16,0.51,2.94,1.77,59.93,57.65,54.64,5.35,0.77,9.92,10.49,4.52,15.92,1.3,6.58,3.81,2.24,1.85,1.79,2.7,2.53,2.81,2.46,2.21,2.06,0.32,0.38,0.41,0.14,0.18,0.15,0.19,0.26,0.2,0.14,0.17,0.14
22,22,AXDX,Medical,5.67M,9.30M,11.16M,80.37M,72.83M,63.70M,88.33M,84.31M,78.21M,1.62,1.55,1.62,77.81M,70.23M,60.70M,185.26M,134.42M,101.40M,127.89M,141.80M,164.21M,57.38M,7.38M,62.81M,185.26M,134.42M,101.40M,120.07M,134.07M,149.98M,1.06,0.13,1.09,67.76M,64.79M,50.39M,20.14M,52.81M,13.61M,125.77M,6.82M,11.63M,68.75M,65.12M,51.76M,,,,110.53,99.08,38.03,,,,10.87,,,580.28M,946.77M,506.27M,,,,56.84,52.74,66.33,100.33,337.25,,59.65,55.52,73.65,8.52,47.33,39.94,1.42K,783.38,570.53,1.37K,755.39,543.69,1.56K,906.8,700.47,21.89,13.94,10.44,22.88,14.93,11.76,0.66,0.62,0.78,0.04,0.06,0.09,0.65,1,1.48,2.09,18.17,2.39,0.65,0.99,1.47
23,23,AXGN,Medical,83.94M,106.71M,112.30M,20.50M,28.94M,23.18M,22.40M,29.14M,23.79M,0.6,0.74,0.6,19.65M,26.06M,19.72M,160.17M,154.64M,201.38M,13.19M,22.49M,78.23M,146.98M,132.15M,123.15M,160.17M,154.64M,201.38M,63.00K,3.33M,53.76M,3.78,3.34,3.03,17.86M,18.10M,8.54M,98.19M,27.27M,16.96M,109.84M,2.26M,39.39M,24.14M,22.76M,30.45M,,,,9.04,6.58,6.37,,,,5.41,5.36,5.9,635.96M,602.74M,658.37M,,,,20.45,18.51,13.36,26.02,20.88,18.63,23.32,20.75,15.36,84.6,83.74,80.78,24.42,27.12,20.64,23.41,24.42,17.56,26.68,27.3,21.18,10.65,5.8,5.81,11.57,6.47,6.36,1.34,1.34,1.64,0.77,0.68,0.63,0,0.02,0.27,0,0.03,0.44,0,0.01,0.26
24,24,AXNX,Medical,707.00K,13.82M,111.53M,34.44M,82.60M,55.67M,32.48M,79.94M,54.91M,1.17,2.8,1.17,33.49M,81.01M,53.03M,171.91M,219.82M,342.21M,28.63M,36.82M,54.84M,143.28M,183.00M,287.37M,171.91M,219.82M,342.21M,23.51M,25.39M,31.54M,5.15,5.36,7.2,31.26M,83.33M,84.25M,60.05M,45.29M,9.65M,165.23M,110.83M,144.70M,32.49M,84.67M,87.19M,,,,594.29,57.28,16.55,,,,2.93,5.17,6.94,286.15M,633.31M,1.64B,,,,31.99,40.81,19.54,46.13,49,23.35,39.68,42.77,21.78,84.16,53.04,60.15,4.87K,597.68,49.91,4.74K,586.16,47.55,4.59K,578.4,49.24,27.46,16.29,5.8,28.09,17.59,7.18,0.5,0.67,1.13,0.01,0.07,0.4,0.14,0.12,0.09,0.16,0.14,0.11,0.13,0.11,0.03
25,25,BAX,Medical,11.10B,11.36B,11.67B,1.75B,1.91B,1.82B,1.55B,1.00B,1.10B,2.83,1.93,2.83,2.52B,2.70B,2.64B,15.72B,18.19B,20.02B,7.85B,10.28B,11.29B,7.87B,7.91B,8.73B,15.72B,18.19B,20.02B,3.48B,5.96B,6.80B,15.29,15.57,17.21,2.02B,2.10B,1.87B,916.00M,1.10B,1.18B,2.60B,498.00M,345.00M,1.36B,1.41B,1.16B,22.13,43.36,37.64,3.24,3.82,3.55,17.82,20.63,22.21,4.3,5.37,4.66,37.61B,46.05B,44.59B,14.91,16.85,16.65,9.87,5.92,5.77,19.79,12.77,13.3,13.7,8.18,7.82,43.45,43.01,40.06,15.79,16.79,15.57,22.73,23.74,22.62,13.98,8.81,9.44,1.53,1.81,1.95,2.12,2.32,2.52,3.76,3.92,3.92,0.71,0.67,0.61,0.22,0.33,0.34,0.44,0.75,0.78,0.22,0.29,0.31
26,26,BDX,Medical,17.29B,17.12B,20.25B,2.89B,2.16B,2.98B,1.23B,874.00M,2.09B,3.94,2.72,3.94,5.02B,4.19B,5.26B,51.77B,54.01B,53.87B,30.68B,30.25B,30.19B,21.08B,23.77B,23.68B,51.77B,54.01B,53.87B,19.39B,18.37B,17.61B,77.95,81.94,,3.33B,3.54B,4.65B,741.00M,1.23B,1.88B,3.22B,22.00M,3.31B,2.37B,2.73B,3.42B,64.2,85.67,35.89,4.02,3.84,3.55,20.87,18.57,15.45,3.25,2.84,,88.28B,81.15B,87.01B,17.57,19.28,16.55,2.34,1.65,3.88,5.87,3.9,8.82,3.12,2.17,5.1,47.94,44.27,46.56,16.74,12.6,14.73,29.06,24.46,25.96,7.14,5.11,10.33,0.72,1.07,0.9,1.18,1.54,1.33,3.58,3.59,3.86,0.33,0.32,0.38,0.37,0.34,0.33,0.92,0.77,0.74,0.35,0.33,0.32
27,27,BIO,Medical,2.29B,2.31B,2.55B,182.77M,253.96M,405.16M,365.61M,1.76B,3.81B,12.1,58.27,12.1,320.87M,428.46M,580.36M,5.61B,8.01B,12.97B,1.59B,2.25B,3.09B,4.02B,5.76B,9.88B,5.61B,8.01B,12.97B,439.43M,651.13M,236.69M,134.91,192.31,331.05,285.49M,457.90M,575.33M,186.98M,208.89M,60.25M,48.68M,22.76M,523.04M,155.67M,359.37M,476.41M,19.2,6.35,4.62,3.07,4.83,6.91,24.59,24.39,30.56,1.72,1.92,1.76,6.61B,10.70B,16.82B,20.6,24.48,28.61,7.4,25.83,36.28,10.52,35.98,48.69,9.35,33.81,47.51,53.42,54.57,56.41,7.98,10.99,15.92,14.02,18.53,22.8,15.97,76.08,149.52,3.19,1.8,2.4,4.49,2.41,3.39,1.81,1.85,1.89,0.46,0.34,0.24,0.08,0.08,0.02,0.11,0.11,0.02,0.08,0.02,0.02
28,28,BIO.B,Medical,2.29B,2.31B,2.55B,182.77M,253.96M,405.16M,365.61M,1.76B,3.81B,12.1,58.27,12.1,320.87M,428.46M,580.36M,5.61B,8.01B,12.97B,1.59B,2.25B,3.09B,4.02B,5.76B,9.88B,5.61B,8.01B,12.97B,439.43M,651.13M,236.69M,134.91,192.31,331.05,285.49M,457.90M,575.33M,186.98M,208.89M,60.25M,48.68M,22.76M,523.04M,155.67M,359.37M,476.41M,19.02,6.37,4.63,3.04,4.84,6.92,24.35,24.46,30.61,1.7,1.93,1.76,6.54B,10.73B,16.85B,20.39,24.55,28.66,7.4,25.83,36.28,10.52,35.98,48.69,9.35,33.81,47.51,53.42,54.57,56.41,7.98,10.99,15.92,14.02,18.53,22.8,15.97,76.08,149.52,3.19,1.8,2.4,4.49,2.41,3.39,1.81,1.85,1.89,0.46,0.34,0.24,0.08,0.08,0.02,0.11,0.11,0.02,0.08,0.02,0.02
29,29,BIOL,Medical,46.16M,37.80M,22.78M,18.20M,15.62M,18.54M,21.52M,17.86M,16.83M,1.05,0.77,1.05,17.25M,14.64M,18.04M,39.27M,32.77M,41.02M,28.18M,28.42M,31.00M,11.09M,4.34M,10.03M,39.27M,32.77M,41.02M,10.84M,13.79M,18.27M,0.53,0.01,0.1,14.15M,12.75M,12.79M,522.00K,207.00K,96.00K,11.23M,10.72M,24.35M,14.71M,12.95M,12.89M,,,,0.44,0.34,1.12,,,,1.88,46.1,4.11,22.86M,24.48M,25.98M,,,,51.88,49.57,45.61,106.65,231.42,234.22,84.07,135.93,104.1,36.6,37.8,27.1,39.43,41.33,81.37,37.38,38.73,79.18,46.62,47.24,73.88,1.32,0.62,2.13,2.09,1.05,3.13,2.38,2.02,1.5,1.11,1.05,0.62,0.28,0.42,0.45,0.98,3.18,1.82,0.28,0,0.44
30,30,BJDX,Medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,BLFS,Medical,19.74M,27.37M,48.09M,3.66M,770.00K,3.33M,25.00M,1.66M,2.67M,1.56,0.09,1.56,4.00M,3.08M,2.47M,45.47M,92.82M,234.83M,30.84M,49.36M,29.58M,14.63M,43.45M,205.25M,45.47M,92.82M,234.83M,0,1.35M,11.15M,0.79,2.09,6.21,2.35M,1.21M,6.64M,6.50M,27.02M,24.71M,28.15M,1.60M,102.08M,1.85M,538.00K,2.01M,88.91,,,9.91,11.5,22.65,83.29,259.58,163.92,15.25,7.75,6.42,164.91M,309.77M,1.01B,41.23,100.17,404.4,55,2.4,1.63,170.89,3.83,2.14,170.89,3.8,2.06,68.51,64.05,50.76,18.55,2.81,6.93,20.26,11.25,5.14,126.66,6.05,5.55,17.56,1.71,6.62,19.37,3.14,7.37,1.77,1.36,2.1,0.43,0.4,0.29,0,0.01,0.05,0,0.03,0.05,0,0.01,0.04
32,32,BLPH,Medical,0,0,0,27.88M,17.47M,26.28M,2.81M,13.27M,24.73M,0.65,2.95,0.65,27.52M,17.13M,26.13M,18.36M,13.11M,50.24M,14.50M,9.52M,11.99M,3.86M,3.59M,38.25M,18.36M,13.11M,50.24M,0,2.32M,1.66M,0.99,0.78,4.03,15.49M,12.94M,19.88M,3.00M,0,0,166.00K,6.17M,57.57M,15.49M,12.94M,19.88M,18.53,,,,,,,,,12.2,6.69,1.66,35.38M,15.96M,6.01M,,,,10.2,84.32,78.07,445.96,356.3,118.2,445.96,291.39,111.25,,,,,,,,,,,,,2.31,1.37,4.61,2.31,1.37,4.61,,,,0,0,0,0,0.18,0.03,0,0.65,0.04,0,0.13,0.02
33,33,BMRA,Medical,5.20M,6.69M,7.20M,2.41M,2.40M,6.52M,2.39M,2.34M,6.47M,0.26,0.23,0.26,2.25M,2.00M,6.15M,5.25M,17.26M,11.82M,1.26M,3.05M,2.59M,3.98M,14.21M,9.23M,5.25M,17.26M,11.82M,0,1.78M,1.62M,0.41,1.21,0.75,2.24M,4.10M,5.01M,171.11K,118.93K,295.58K,1.91M,12.17M,872.60K,2.35M,4.13M,5.15M,,,,3.99,9.83,6.05,,,,5.47,5.35,4.87,20.04M,58.94M,40.96M,,,,45.68,20.79,44.49,57.55,25.71,55.2,57.55,23.67,49.19,24.84,26.62,6.9,46.39,35.9,90.6,43.26,29.95,85.38,46.01,34.95,89.86,1.85,8.07,4.63,3.56,10,7.1,1.81,1.96,2.21,0.99,0.59,0.5,0,0.1,0.14,0,0.13,0.18,0,0.09,0.11
34,34,BRKR,Medical,1.90B,2.07B,1.99B,280.30M,313.90M,274.50M,179.70M,197.20M,157.80M,1.14,1.26,1.14,345.20M,389.50M,355.00M,2.13B,2.77B,3.05B,1.20B,1.83B,2.07B,927.70M,938.20M,974.30M,2.13B,2.77B,3.05B,341.10M,880.90M,912.80M,5.73,5.88,6.32,239.70M,213.40M,332.20M,123.40M,158.40M,193.90M,112.40M,300.00M,160.40M,190.50M,140.40M,235.00M,26.04,40.47,53.03,2.47,3.85,4.21,19.52,37.4,25.19,5.2,8.66,8.56,4.73B,8.21B,8.56B,13.7,20.9,23.93,8.82,8.05,5.42,22.16,21.87,16.9,15.23,13.21,8.73,47.65,48.34,47.48,14.79,15.15,13.81,18.21,18.79,17.86,9.48,9.51,7.94,1.33,1.89,1.56,2.18,2.78,2.43,1.99,1.97,1.64,0.93,0.85,0.68,0.16,0.32,0.3,0.37,0.94,0.94,0.15,0.31,0.29
35,35,BSGM,Medical,0,0,0,17.26M,31.27M,54.30M,17.25M,34.05M,52.22M,1.25,1.65,1.25,17.25M,31.21M,53.75M,5.00M,14.22M,30.39M,1.20M,2.34M,5.11M,3.80M,11.88M,25.28M,5.00M,14.22M,30.39M,0,723.42K,314.00K,0.2,0.48,0.79,10.26M,15.49M,26.14M,307.68K,285.93K,87.00K,13.47M,23.43M,42.39M,10.29M,15.67M,26.23M,,,,,,,,,,21.67,12.39,4.92,57.96M,111.86M,81.79M,,,,515.18,354.48,234.15,2.25K,449.25,291.42,2.25K,440.21,288.91,,,,,,,,,,,,,3.87,6.04,5.59,3.87,6.32,5.74,,0.19,0.82,0,0,0,0,0.05,0.01,0,0.06,0.01,0,0.02,0
36,36,BSX,Medical,9.82B,10.73B,9.91B,1.74B,1.71B,601.00M,1.67B,4.70B,82.00M,1.19,3.33,1.19,2.63B,2.72B,1.72B,21.00B,30.57B,30.78B,12.27B,16.69B,15.45B,8.73B,13.88B,15.33B,21.00B,30.57B,30.78B,7.06B,10.35B,9.61B,6.3,9.95,10.82,310.00M,1.84B,1.51B,1.92B,5.04B,411.00M,1.43B,2.97B,293.00M,6.00M,1.38B,1.13B,29.7,13.57,,5.04,5.94,5.14,159.76,34.74,33.77,5.61,4.55,3.32,55.78B,73.58B,58.60B,21.2,26.9,33.74,8.35,18.23,0.27,21.24,41.59,0.56,13.72,25.91,0.34,65.94,64.08,56.25,17.68,15.95,6.06,26.78,25.36,17.38,17.01,43.78,0.83,0.54,0.64,1.45,0.76,0.97,1.82,2.98,2.81,2.96,0.49,0.42,0.32,0.34,0.34,0.31,0.81,0.75,0.63,0.23,0.29,0.31
37,37,BVS,Medical,319.18M,340.14M,321.16M,28.60M,37.95M,33.04M,12.21M,5.30M,10.52M,0.32,0.01,0.32,57.84M,68.26M,61.69M,442.72M,472.41M,494.47M,297.46M,326.79M,350.31M,145.27M,145.62M,144.16M,442.72M,472.41M,494.47M,194.93M,214.35M,204.45M,2.56,2.52,2.5,45.19M,40.71M,71.80M,6.10M,7.91M,20.50M,13.26M,10.95M,29.57M,42.63M,38.37M,67.71M,,,,,,,,,,,,,,,,,,,,1.55,2.18,,4.93,7.37,,2.09,3.11,70.93,70.94,70.38,8.96,11.16,10.29,18.12,20.07,19.21,1.39,2.09,3.27,1.85,1.75,1.49,2.27,2.06,1.73,,3.61,3.37,,0.74,0.66,0.44,0.45,0.41,1.34,1.47,1.42,0.43,0.43,0.38
38,38,BWAY,Medical,16.34M,23.18M,22.21M,5.10M,8.50M,3.58M,6.46M,10.36M,5.42M,0.78,1.01,0.78,3.87M,5.70M,1.95M,23.60M,38.74M,34.01M,11.67M,9.15M,8.85M,6.95M,24.22M,19.63M,23.60M,38.74M,34.01M,2.83M,414.00K,672.00K,0.84,2.18,1.76,3.76M,7.27M,1.45M,1.13M,2.45M,2.48M,264.14K,22.55M,1.04M,5.73M,10.59M,3.93M,,,,,4.31,3.81,,,,,4.48,4.27,,78.49M,68.14M,,,,25.51,33.24,14.91,65.65,66.48,24.73,52.75,62.31,24.59,77.74,77.28,79.62,31.19,36.69,16.12,23.7,24.59,8.78,39.51,44.71,24.41,1.62,4.29,3.57,1.62,4.29,3.57,,,,0.65,0.74,0.61,0.12,0.01,0.02,0.41,0.02,0.03,0.09,0,0.01
39,39,CCEL,Medical,29.22M,31.82M,31.15M,5.35M,4.32M,5.72M,854.82K,2.29M,3.62M,0.11,0.27,0.11,5.67M,4.72M,6.36M,42.39M,42.89M,46.20M,51.30M,49.84M,48.87M,8.91M,6.95M,2.67M,42.39M,42.89M,46.20M,12.94M,8.96M,6.24M,1.14,0.93,0.35,5.33M,6.32M,8.73M,11.28M,690.66K,357.49K,5.71M,5.13M,5.27M,4.89M,5.66M,8.63M,,27.73,16.84,1.87,2,1.96,10.24,10.04,6.99,,,,60.66M,65.02M,56.84M,10.7,13.77,8.89,2.58,5.37,8.14,,,,,,,70.16,67.81,68.46,18.32,13.58,18.37,19.41,14.84,20.41,2.93,7.2,11.64,0.87,0.93,1.07,1.91,1,1.13,1.07,1.2,9.77,0.88,0.75,0.7,0.31,0.21,0.14,1.45,1.29,2.34,0.23,0.14,0.06
40,40,CDNA,Medical,76.57M,127.07M,192.19M,14.56M,23.93M,22.53M,46.76M,21.97M,18.71M,1.31,0.52,1.31,10.35M,18.41M,12.98M,134.19M,158.26M,379.09M,38.26M,59.26M,101.41M,95.93M,99.00M,277.68M,134.19M,158.26M,379.09M,421.00K,3.30M,18.17M,2.32,2.33,5.62,4.01M,2.77M,34.91M,7.93M,22.58M,100.39M,50.27M,132.00K,161.67M,6.04M,4.97M,27.80M,,,,11.7,7.16,17.52,,,96.48,10.85,9.26,12.9,831.77M,874.28M,3.16B,,,,42.43,15.02,6.97,104.14,22.54,9.94,86.28,22.5,9.53,55.61,63.2,66.38,19.02,18.83,11.72,13.51,14.49,6.76,61.06,17.29,9.74,3.91,1.89,3.8,4.16,2.07,3.95,6.49,8.53,8.06,0.69,0.87,0.72,0,0.02,0.05,0,0.03,0.07,0,0,0.04
41,41,CEMI,Medical,34.58M,34.46M,32.47M,7.65M,12.61M,21.95M,7.87M,13.68M,25.52M,0.55,0.81,0.55,6.74M,10.69M,19.25M,40.91M,70.06M,84.61M,7.58M,46.03M,56.83M,33.33M,24.04M,27.78M,40.91M,70.06M,84.61M,379.51K,25.58M,25.40M,1.94,1.36,1.37,11.78M,9.06M,18.89M,6.96M,3.75M,4.17M,27.48M,18.49M,27.76M,13.25M,12.56M,22.85M,,,,2.36,2.24,2.79,,,,2.92,3.36,3.46,69.54M,84.62M,92.99M,,,,19.23,24.65,33,23.6,47.68,98.52,23.48,33.22,50.39,34.65,35.02,26.47,22.11,36.58,67.6,19.5,31.02,59.3,22.75,39.68,78.6,3.16,3.51,2.2,4.36,5,3.22,2.88,2.57,2.16,0.85,0.62,0.42,0.01,0.37,0.3,0.01,1.06,0.91,0,0.35,0.29
